danceability,energy,music_key,loudness,music_mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,time_signature
0.806,0.653,8,-6.283,1,0.0902,0.0282,0.000784,0.107,0.85,150.058,7uQZVznj0uQOGC9KhV2Mg6,4
0.801,0.688,1,-4.594,1,0.396,0.144,0.0,0.107,0.5,162.928,1MIGkQxcdAt2lDx6ySpsc5,4
0.7,0.753,11,-3.841,0,0.0441,0.0539,1.72e-05,0.072,0.146,97.998,285Bh5EkbxGGE76ge8JDbH,4
0.738,0.89,2,-2.275,0,0.0748,0.0895,1.89e-06,0.213,0.75,114.942,5xrtzzzikpG3BLbo4q1Yul,4
0.644,0.867,11,-4.18,0,0.0383,0.001,0.0,0.105,0.687,124.997,21aOLk12MksET8AsbU0SI6,4
0.702,0.741,9,-5.33,1,0.0427,0.00544,0.0,0.337,0.646,124.925,3XYRV7ZSHqIRDG87DKTtry,4
0.688,0.909,8,-1.992,1,0.0624,0.0474,1.35e-06,0.0674,0.702,97.097,0BTaaKT4RMbs5M73tOHX5Y,4
0.759,0.886,1,-3.067,1,0.187,0.0103,2.04e-05,0.342,0.489,102.065,56Yxkm62GtEpnPyG7TvwLY,4
0.647,0.377,6,-6.003,1,0.0375,0.594,0.0,0.0768,0.653,79.936,2dHoVW9AxJVSRebPRyV2aA,4
0.621,0.816,11,-5.242,1,0.104,0.0966,0.0,0.134,0.694,163.966,6LnEoRQKMcaFTR5UvaKuBy,4
0.727,0.879,9,-1.167,1,0.129,0.124,1.17e-05,0.244,0.671,146.959,3dbLT62Cvs46Ju7a8gpr36,4
0.519,0.445,0,-5.452,0,0.206,0.434,0.0,0.258,0.505,200.021,1jxGBe4s8FwL2ZeNWszVuu,4
0.687,0.866,7,-2.01,1,0.0466,0.0301,0.0,0.0755,0.696,160.066,6Ib6RkvLBMD85bov85apSL,4
0.636,0.965,11,-6.033,0,0.199,0.00407,3.19e-06,0.0743,0.44,165.015,5EaVikAxSRponyifRP6Fhp,4
0.764,0.802,0,-4.217,1,0.0351,0.102,0.0,0.189,0.323,132.02,5BXr7hYZQOeRttkeWYTq5S,4
0.605,0.805,6,-3.212,1,0.0641,0.313,0.0,0.659,0.738,148.298,2bZIDMpzVooosmPHn0tHnd,4
0.693,0.586,5,-6.098,0,0.0315,0.233,0.0,0.145,0.459,82.039,6YBcbXDYIITuyCEN2YwGRy,4
0.82,0.852,11,-2.567,0,0.166,0.488,5.94e-06,0.0907,0.82,109.036,2zrhoHlFKxFTRF5aMyxMoQ,4
0.878,0.777,5,-3.702,0,0.163,0.0437,0.0,0.401,0.878,139.989,5npCUsfrlhdyjxyCa32maW,4
0.641,0.489,0,-8.668,0,0.11,0.0509,0.0,0.071,0.206,142.977,44tTqUi3xi7E28QLzHVdUA,4
0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,1mWdTewIgB3gtBM3TOSFhB,4
0.693,0.935,8,-4.323,1,0.224,0.18,0.0,0.179,0.391,80.882,6M47gaKejso9772SKTa3yH,4
0.692,0.835,6,-4.978,0,0.0628,0.0517,0.0,0.134,0.566,80.017,3zmrdOtnOogqLllz26WLZ3,4
0.438,0.632,7,-4.447,0,0.0417,0.434,0.0,0.214,0.386,61.45,60VaORSJ5x1D4ZPSc0g2En,4
0.706,0.692,1,-4.084,0,0.0483,0.338,0.0,0.113,0.526,136.078,4QqROKO0RtV5CvxE7g90uw,4
0.659,0.821,9,-2.215,0,0.0468,0.406,0.0,0.114,0.353,161.983,4rOODw637hsmsq0uzT0DN3,4
0.568,0.809,11,-3.869,0,0.0517,0.000253,3.33e-05,0.151,0.709,155.029,1zoyteFQmeUUqyOl2Xznpy,4
0.846,0.814,6,-4.685,0,0.149,0.0823,0.00094,0.13,0.722,140.055,1Wcr8zrKqbUX0zwN8Dbr16,4
0.575,0.796,2,-5.152,1,0.115,0.0242,0.0,0.0842,0.492,99.836,25osmdhvjltPlN7gI2Javd,4
0.634,0.928,1,-1.609,1,0.0514,0.00719,2.55e-06,0.0626,0.738,164.007,52CBUrIdyf8tbZaUY9iawE,4
0.766,0.844,10,-3.993,0,0.0575,0.0502,0.0,0.269,0.823,122.019,6IqKFke4ZhKbGYULllEezY,4
0.561,0.758,5,-3.87,0,0.0478,0.000831,3.08e-06,0.15,0.178,149.944,2R8MZR1RCP4cIJITHDPRbY,4
0.376,0.946,2,-2.388,1,0.268,0.0302,0.0,0.147,0.581,89.657,7qpSatdWQcRHA3hpedL2u4,3
0.488,0.427,6,-7.383,1,0.0382,0.354,0.0,0.0797,0.157,72.035,66sBTYlkaiyBwf4fhbIHlZ,4
0.633,0.775,6,-3.747,1,0.0413,0.348,0.0,0.612,0.486,134.093,237OjBs3wvamAFpHp0yItw,4
0.786,0.858,11,-3.74,1,0.0675,0.0487,0.0,0.126,0.649,112.999,0BJMgVrnWIvgYsjq8KaPeh,4
