artist_name,artist_id,track_name,track_id,ff,track_popularity,artist_followers,artist_popularity,artist_genres
THE NEW SIX,0DRiXmEOc6dJ6Rug3xi4HZ,Love or Die,5JDfcFU6lCYU7jQJ8dDo8v,1,52,153969,42,['k-pop boy group']
xikers,6QHP8St0MzfNDqjKpwtMht,Oh My Gosh,49wfLT6fr1h53dNxIVENX5,1,48,277703,49,['k-pop boy group']
NCT DREAM,1gBUSTR3TyDdTVFIaQnc02,Skateboard,7ik0uSROwZ9hxoFGsw6uPs,1,48,7391266,70,['k-pop boy group']
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,"Eve, Psyche & the Bluebeard?ôs wife (feat. UPSAHL)",2KsiPmkW27MalI0SqC64eI,1,53,3614292,76,['k-pop girl group']
NMIXX,28ot3wh4oNmoFOdVajibBl,Just Did It,5AgwBbICmOVLhl95tBiOg0,1,50,2131236,63,"['k-pop', 'k-pop girl group']"
STAYC,01XYiBYaoMJcNhPokrg0l0,ÔªøBubble (English Ver.),3bcqk74mnFzQF2bfOMG7iK,1,48,1611711,61,"['k-pop', 'k-pop girl group']"
Xdinary Heroes,1khChLj7REGqjM043PlYyn,Dear H.,6yzHKyNLHZQDZzTuQrRF0G,1,52,862401,57,['k-pop boy group']
Jimin,1oSPZhvZMIrWW5I41kPkkY,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Sped Up",6USCIAcTHT2RMom8qXqMyk,1,54,6948238,81,['k-pop']
Tech N9ne,6UBA15slIuadJ8h2lPRPos,Knock,3OFmFAEAfxNyJRAW0wLmfb,1,44,2744091,65,"['detroit hip hop', 'kansas city hip hop', 'pop rap']"
MISAMO,0IwZVmMMGE7nNXS7vN9SIo,Bouquet,2dHHrb7PVObPb4YWxGilXZ,1,57,502490,57,['k-pop girl group']
VIVIZ,7Lq3yAtwi0Z7zpxEwbQQNZ,Day by day,5gWMqMujZfM4LxTpytCrAh,1,52,385003,56,"['k-pop', 'k-pop girl group']"
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,Requiem,4BmI59bDQEDaKKvkTeKAf3,1,45,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
xikers,6QHP8St0MzfNDqjKpwtMht,Doorbell Ringing,1CDZC8VcIcGogq04QT9DMU,1,47,277703,49,['k-pop boy group']
ATEEZ,68KmkJeZGfwe1OUaivBa2L,DIAMOND,5sIcMld4YXTlTqztVEa3hU,1,50,3374196,69,"['k-pop', 'k-pop boy group']"
tripleS,5Z71xE9prhpHrqL5thVMyK,Moto Princess,1AtwiyjNooO4O1M4gSgqto,1,50,285350,54,['k-pop girl group']
Dreamcatcher,5V1qsQHdXNm4ZEZHWvFnqQ,BONVOYAGE (Farewell Ver.),4xiuarCywWiw9qESd8Y7ng,1,49,1294697,60,"['k-pop', 'k-pop girl group']"
Dreamcatcher,5V1qsQHdXNm4ZEZHWvFnqQ,Propose,7k53fIe6dzMk96hF33FFOz,1,50,1294697,60,"['k-pop', 'k-pop girl group']"
