artist_name,artist_id,track_name,track_id,track_popularity,artist_popularity,artist_genres,artist_followers
The Rose,5na1LmEmK2VzNLje9snJYW,Eclipse,41kPgRfujefTii5rCkdqCS,56,63,"['k-pop', 'k-pop boy group']",2520981
The Rose,5na1LmEmK2VzNLje9snJYW,Wonder,5jhpphz9p3wuSThnkFCTZv,57,63,"['k-pop', 'k-pop boy group']",2520981
NCT 127,7f4ignuCJhLXfZ9giKT7rH,Yacht,0kMTK6RqBkUojGARhbQkaq,55,69,"['k-pop', 'k-pop boy group']",7273469
Crush,6aLdhHUqgdKE86xbtNmY8g,Hmm-cheat,7hYGWflgiI2aa25jOgL6eg,62,63,"['k-pop', 'korean r&b']",1174984
FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,Lovin' Me,63pHo56L4k2VLXqzt1shrK,58,69,['k-pop girl group'],1384578
wave to earth,5069JTmv5ZDyPeZaCCXiCg,nouvelle vague,5EkbJFiurqjmLcOy7TYT3u,57,72,['korean city pop'],1338142
Xdinary Heroes,1khChLj7REGqjM043PlYyn,Good enough,3tXTu7hcpy4clOR2VBVNUk,61,57,['k-pop boy group'],862401
aespa,6YVMFz59CuY7ngCxTxjpxE,I'm Unhappy,6fzio74FGqFFsenYkbGPzR,62,75,['k-pop girl group'],4110265
wave to earth,5069JTmv5ZDyPeZaCCXiCg,dried flower,0silYl19ebS1wbruI3CNc9,58,72,['korean city pop'],1338142
NCT DOJAEJUNG,0W0w607z3JEA1vXLz9FVGw,Kiss,6iirdwpyu2Ohg3iVdu4vXl,60,52,['k-pop boy group'],291926
D.O.,2CQZr2RPZmrcvDnaod1ldC,I Do,1uOFPJmg1yx3sfBqgv1JAS,66,64,['k-pop'],1842035
BIBI,6UbmqUEgjLA6jAcXwbM1Z9,Amigos (with Becky G),2uFt5a1PPXz4vYwPnO8zqP,58,64,"['k-pop', 'korean r&b']",1152556
KARD,2JhAlkmukNvarUpGhTFXUQ,CAKE,7DFxvlzyT4thkXhtcio8Tu,62,55,['k-pop'],1904519
wave to earth,5069JTmv5ZDyPeZaCCXiCg,calla,4i9FlOVdtyJUDEKPT63VpZ,59,72,['korean city pop'],1338142
NCT 127,7f4ignuCJhLXfZ9giKT7rH,Misty,3PEUcbHPhmnlG5w1EmjyWC,55,69,"['k-pop', 'k-pop boy group']",7273469
The Rose,5na1LmEmK2VzNLje9snJYW,Alive,1BcmLcfo4OICRgiMOtJHrv,58,63,"['k-pop', 'k-pop boy group']",2520981
TWICE,7n2Ycct7Beij7Dj7meI4X0,GOT THE THRILLS,1RVsbqAP1WFFXPiBXQYIah,60,77,"['k-pop', 'k-pop girl group', 'pop']",19350575
WayV,1qBsABYUrxg9afpMtyoFKz,RODEO,3ekOQ88PAWfC2IrNb8koJe,59,61,"['chinese idol pop', 'k-pop']",2038184
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,Gang Gang Gang,6fMM4VMig1pSp0Pd1paP0N,57,82,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",3164524
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,"Eve, Psyche & the Bluebeard’s wife (English Ver.)",1xaLyNaaZC3i5tmaDAWP76,61,76,['k-pop girl group'],3614292
NCT 127,7f4ignuCJhLXfZ9giKT7rH,Love is a beauty,2TleatXgsMdOYwV9dxmDjL,55,69,"['k-pop', 'k-pop boy group']",7273469
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,Goodbye Now,1bIhEN6lxZTokWS7Qk5DJP,61,76,"['k-pop', 'k-pop boy group']",9109873
Eric Nam,2FLqlgckDKdmpBrvLAT5BM,Don't Leave Yet,3Y5jzpgo79Rsx86v0QvRqc,57,58,['k-pop'],2235528
BOYS PLANET,49pGKUCSjzaCfv8gdTWG98,Jelly Pop,6fJW5vgrTBrKksFKApn7v2,61,46,['k-pop boy group'],144303
(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,Tall Trees,3NwamGRtyCi0MmVDjqOL2S,60,73,['k-pop girl group'],7944655
WayV,1qBsABYUrxg9afpMtyoFKz,Ain't No Thang,4udm7pXLOtZiuEhWByJAPC,58,61,"['chinese idol pop', 'k-pop']",2038184
The Rose,5na1LmEmK2VzNLje9snJYW,Angel (feat. Trevor Daniel),0SY2MvlKGm9ef2qF0VTgJW,56,63,"['k-pop', 'k-pop boy group']",2520981
TREASURE,3KonOYiLsU53m4yT7gNotP,B.O.M.B,4OVdshr1CletoUtcrLE0ZV,53,66,['k-pop boy group'],3141331
Stray Kids,2dIgFjalVxs4ThymZ67YCE,Battle Ground,6TyUrD8PmqxYyPlYXNGLXq,61,82,"['k-pop', 'k-pop boy group', 'pop']",13545818
Stray Kids,2dIgFjalVxs4ThymZ67YCE,THE SOUND,2ovMFHvl5jWOZdhd9hL7uf,60,82,"['k-pop', 'k-pop boy group', 'pop']",13545818
MISAMO,0IwZVmMMGE7nNXS7vN9SIo,Marshmallow,1xAlI4oMjz8lJXO4iXik84,61,57,['k-pop girl group'],502490
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Seven (feat. Latto) (Alesso Remix),748MqeDRJ401KBqwCn5zHB,60,89,['k-pop'],11467146
Jay Park,4XDi67ZENZcbfKnvMnTYsI,Yesterday,4mPOgPXaXFBQ9dCg6OGEFv,59,63,"['k-pop', 'k-rap', 'korean r&b']",2042673
NCT U,3paGCCtX1Xr4Gx53mSeZuQ,Call D,5YUUAvaJVo9j8VeWNhJshM,49,64,"['k-pop', 'k-pop boy group']",4231252
EXO,3cjEqqelV9zb4BYE3qDQ4O,Let Me In,5e6hUjvQG2inD4Svco0PvP,61,68,"['k-pop', 'k-pop boy group']",9788318
STAYC,01XYiBYaoMJcNhPokrg0l0,Poppy (Korean Ver.),7a86ARVnm366v2UY1z9Ak8,59,61,"['k-pop', 'k-pop girl group']",1611711
BIBI,6UbmqUEgjLA6jAcXwbM1Z9,I AM SHAMPOO,164rrRJLHNzPKIR82BCDQU,56,64,"['k-pop', 'korean r&b']",1152556
Junko Ohashi,7rGbODPTIVjzn3CTR6RCzE,テレフォン・ナンバー,4o5pAjHBuKose80OQRgXAg,57,46,"['classic city pop', 'kayokyoku']",96689
ITZY,2KC9Qb60EaY0kW4eH68vr3,Psychic Lover,5Xik9Cid9UnaLMOyaDYO8F,59,70,"['k-pop', 'k-pop girl group']",6307930
EXO,3cjEqqelV9zb4BYE3qDQ4O,Let Me In,3s9YpuocAjzVt0NLshCrpT,60,68,"['k-pop', 'k-pop boy group']",9788318
aespa,6YVMFz59CuY7ngCxTxjpxE,ZOOM ZOOM,3DZwsHxTYjCcMUTcSkATPl,62,75,['k-pop girl group'],4110265
WayV,1qBsABYUrxg9afpMtyoFKz,INVINCIBLE,3gE8a2MYfwb4WBbEQFD25i,58,61,"['chinese idol pop', 'k-pop']",2038184
Dreamcatcher,5V1qsQHdXNm4ZEZHWvFnqQ,Rising,5DoDlDWyes37gLnVtsEFAL,59,60,"['k-pop', 'k-pop girl group']",1294697
Jimin,1oSPZhvZMIrWW5I41kPkkY,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",2GhOHZynysGm5B8R6iCihi,64,81,['k-pop'],6948238
wave to earth,5069JTmv5ZDyPeZaCCXiCg,so real,6Y3DptA1KtLCr0ii61x2Sl,56,72,['korean city pop'],1338142
The Rose,5na1LmEmK2VzNLje9snJYW,Cosmo,2YtrpGJ2B0wI52vH1jVSqB,55,63,"['k-pop', 'k-pop boy group']",2520981
Stray Kids,2dIgFjalVxs4ThymZ67YCE,Lost Me,4KTK0uE4uJlS2Y8Gtq81I9,61,82,"['k-pop', 'k-pop boy group', 'pop']",13545818
FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,Higher,60KWPwY1iwKIOszBGXxlmh,57,69,['k-pop girl group'],1384578
NCT DREAM,1gBUSTR3TyDdTVFIaQnc02,Poison,0JelY23AS8fyxqGT9kkibH,55,70,['k-pop boy group'],7391266
NCT DREAM,1gBUSTR3TyDdTVFIaQnc02,Like We Just Met,7xlPmv0QzeklLt3Z4rckBE,56,70,['k-pop boy group'],7391266
MISAMO,0IwZVmMMGE7nNXS7vN9SIo,Funny Valentine,4xtgQGbQnII1buKgl5fguT,60,57,['k-pop girl group'],502490
The Rose,5na1LmEmK2VzNLje9snJYW,Alive,5KDWBEPdhB7Yv1YVieS3PY,56,63,"['k-pop', 'k-pop boy group']",2520981
Jay Park,4XDi67ZENZcbfKnvMnTYsI,Candy (Feat. Zion.T),0luFANDtNNjcBXKazh3dV8,58,63,"['k-pop', 'k-rap', 'korean r&b']",2042673
j-hope,0b1sIQumIAsNbqAoIClSpy,Equal Sign (Lollapalooza ver.),2JcJJjTFzpGo1G5nXqC6Qq,60,68,"['k-pop', 'k-rap']",16590748
wave to earth,5069JTmv5ZDyPeZaCCXiCg,sunburn,0rn2B4vJ34nlrQJ9gIgiue,56,72,['korean city pop'],1338142
KAI,6iVo62B0bdTknRcrktCmak,Slidin',1kDHz6nhxNtdvh209RvyU6,56,60,['k-pop'],1336513
wave to earth,5069JTmv5ZDyPeZaCCXiCg,pink horizon,11cbimZiHCAuJpSikkZdWN,58,72,['korean city pop'],1338142
Xdinary Heroes,1khChLj7REGqjM043PlYyn,Freakin' Bad,1gZxcX80pR6xThd2waYjuq,60,57,['k-pop boy group'],862401
Kep1er,5R7AMwDeroq6Ls0COQYpS4,Giddy,6blIAzkMKENKqAfMwj5cZQ,58,57,['k-pop'],1375828
fromis_9,24nUVBIlCGi4twz4nYxJum,Attitude,1jkoDKZBMInTDwGlqoPOFC,55,56,"['k-pop', 'k-pop girl group']",1180701
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Seven (feat. Latto) (Summer Mix),0aP1rlawWVSjuDSo7dbWRI,61,89,['k-pop'],11467146
Stray Kids,2dIgFjalVxs4ThymZ67YCE,Novel,4xr0Pc53xqpSEOWPMx0JI9,59,82,"['k-pop', 'k-pop boy group', 'pop']",13545818
Billlie,2GQxKDojobwBjZMPf7aoh0,EUNOIA,5ICowHre7VraSKaRw3do8N,57,52,['k-pop'],536996
FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,Cupid – Twin Ver. (feat. Sabrina Carpenter),3gvxWMX8XXWJd7AQRN7I01,57,69,['k-pop girl group'],1384578
Whee In,0BqRGrwqndrtNkojXiqIzL,In The Mood,1f7WTvoghCDULXgxMrwXAY,59,52,"['k-pop', 'korean ost']",914347
Stray Kids,2dIgFjalVxs4ThymZ67YCE,Social Path,3dxcr1h2eM5dgYeWjCQ41H,59,82,"['k-pop', 'k-pop boy group', 'pop']",13545818
KEY,6XXKPxRX2WWPPtfodzpc2v,CoolAs,4SWwAqfQQrqWGm4t5573MA,56,52,['k-pop'],634344
Dreamcatcher,5V1qsQHdXNm4ZEZHWvFnqQ,Shatter,2pje4AQVUQuEbVTcNlnZ5v,58,60,"['k-pop', 'k-pop girl group']",1294697
8TURN,7tCg9aiVKZ5Cmhbfb7UoqM,TIC TAC,60Oo6tKR0ckwZsRr95NrjL,57,40,['k-pop boy group'],160773
JEON SOMI,7zYj9S9SdIunYCfSm7vzAR,The Way,3b098hlA2uM27cENS4MI4g,54,63,['k-pop'],2333604
Stray Kids,2dIgFjalVxs4ThymZ67YCE,There,6gHeWGamtOYHBd1LBZ7Fv6,59,82,"['k-pop', 'k-pop boy group', 'pop']",13545818
Xdinary Heroes,1khChLj7REGqjM043PlYyn,Break the Brake,35tFDNRthpr63bVGF7G8GB,59,57,['k-pop boy group'],862401
Eric Nam,2FLqlgckDKdmpBrvLAT5BM,House on a Hill,1nrrgAOPGSnBZ3KB3maQYj,54,58,['k-pop'],2235528
BLACKSWAN,2ujaWf015QoP7x1u20Yq5G,Cat & Mouse,1gL38pTAlg8M9aypzumft8,55,39,['k-pop girl group'],139762
ITZY,2KC9Qb60EaY0kW4eH68vr3,STYLE,0aZ8DSEdBJbBfrNtnqgJy3,59,70,"['k-pop', 'k-pop girl group']",6307930
TWICE,7n2Ycct7Beij7Dj7meI4X0,BLAME IT ON ME,2hQdmjAhYEuMuqNWZCsz1J,59,77,"['k-pop', 'k-pop girl group', 'pop']",19350575
Crush,6aLdhHUqgdKE86xbtNmY8g,Ego,6YniytuSunB9HefGf4IxO9,56,63,"['k-pop', 'korean r&b']",1174984
Xdinary Heroes,1khChLj7REGqjM043PlYyn,PLUTO,261HjCXIPx0G5RAR7W660r,59,57,['k-pop boy group'],862401
D.O.,2CQZr2RPZmrcvDnaod1ldC,Ordinary Days,6nZqsYlVsAAN4Q0MHVnLis,62,64,['k-pop'],1842035
(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,Paradise,0M0LPSeg23xSAELGs2TbXf,59,73,['k-pop girl group'],7944655
(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,Lucid,4fg42mtrSFuKQ9NYBboiiN,59,73,['k-pop girl group'],7944655
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,Burn the Bridge,3NJ5Ksj7LNbvfNgEtl3o6Z,58,76,['k-pop girl group'],3614292
