artist_id,artist_name,artist_popularity,artist_followers,track_id,track_name,release_date,artist_genres,track_popularity,album_image
2KC9Qb60EaY0kW4eH68vr3,ITZY,70,6307930,47YvjyoCQpYwZbRj0Rs985,Sugar-holic,2023-10-11,"['k-pop', 'k-pop girl group']",55,https://i.scdn.co/image/ab67616d00001e021e9b62de9199671aa7e7495f
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,76,3614292,0THn1agoZT9wJXkITUz6dJ,Choices,2023-01-08,['k-pop girl group'],59,https://i.scdn.co/image/ab67616d00001e0214aeb8283b47774aea402151
0CmvFWTX9zmMNCUi6fHtAx,THE BOYZ,58,2763302,7yP9oxhtOozkCptLHJoq3l,ROAR,2023-02-20,"['k-pop', 'k-pop boy group']",55,https://i.scdn.co/image/ab67616d00001e02890a8271745a38ae35f1ad37
2CQZr2RPZmrcvDnaod1ldC,D.O.,64,1842035,5XLb6KA3Iykc5bY8vSk9Sq,Lost,2023-09-18,['k-pop'],60,https://i.scdn.co/image/ab67616d00001e029fc7a71661f7d244cfbadf8d
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11467146,1ewYtP6BZlak8qokzZe4Bx,3D (feat. Jack Harlow) (Sped Up),2023-10-02,['k-pop'],58,https://i.scdn.co/image/ab67616d00001e0299583bb32b47e87d55c6064b
2AfmfGFbe0A0WsTYm0SDTx,(G)I-DLE,73,7944655,1abAIeSQCbdPcxWgiwDOmL,All Night,2023-05-15,['k-pop girl group'],58,https://i.scdn.co/image/ab67616d00001e0282dd2427e6d302711b1b9616
78sJswwVn4P8aEhkF4K6fQ,HYOLYN,50,811322,7vgvV8dD2L0l7pMSOBPD26,This love (feat. Paul Blanco),2023-07-12,"['k-pop', 'korean r&b']",55,https://i.scdn.co/image/ab67616d00001e025508c94f0b262056777441ab
0W0w607z3JEA1vXLz9FVGw,NCT DOJAEJUNG,52,291926,5pclRrU254BhS94sYWeCxt,Can We Go Back,2023-04-17,['k-pop boy group'],57,https://i.scdn.co/image/ab67616d00001e0227cc105dd498a481f805f9a0
4XDi67ZENZcbfKnvMnTYsI,Jay Park,63,2042673,1hncbzqfhChm8PS0UeoVY6,Rock With You - Spotify Singles,2023-03-31,"['k-pop', 'k-rap', 'korean r&b']",57,https://i.scdn.co/image/ab67616d00001e02bbb7a9cbcad2eabbfbcb9522
0CmvFWTX9zmMNCUi6fHtAx,THE BOYZ,58,2763302,7ibId5hMDtmIVei21YXEYd,Honey,2023-11-20,"['k-pop', 'k-pop boy group']",56,https://i.scdn.co/image/ab67616d00001e0266c8e4a0da651253f0a9dcd5
4TEK9tIkcoxib4GxT3O4ky,KISS OF LIFE,60,288714,7n6L2QVQ0eDqXUVRZ8qpY8,Bye My Neverland,2023-07-05,['k-pop girl group'],57,https://i.scdn.co/image/ab67616d00001e022ff7c76b0790cd3ad63cfc0c
4XDi67ZENZcbfKnvMnTYsI,Jay Park,63,2042673,3MUmPh3UxWs9p25e6B3M7N,Love Is Ugly (Feat. Hwa Sa),2023-02-13,"['k-pop', 'k-rap', 'korean r&b']",56,https://i.scdn.co/image/ab67616d00001e0234ee982fc7e55b647edbbc61
0LOK81e9H5lr61HlGGHqwA,XG,66,1008880,4Fd2BjzdKHzrc2uY7zmMar,LEFT RIGHT REMIXX - FEAT. CIARA & JACKSON WANG // PROD BY JAKOPS,2023-05-05,['k-pop girl group'],57,https://i.scdn.co/image/ab67616d00001e0200f6679bb392465a4f097e04
1uAT5bTSp6dWbNmixIUP5t,BSS,56,446973,0MMIrw3mCssQj4uqJlBzdp,LUNCH,2023-02-06,['k-pop'],60,https://i.scdn.co/image/ab67616d00001e021869a85947a5ea00df8c936f
3paGCCtX1Xr4Gx53mSeZuQ,NCT U,64,4231252,6b30ItDzcKL2oLwW8p7cRa,Kangaroo,2023-08-28,"['k-pop', 'k-pop boy group']",46,https://i.scdn.co/image/ab67616d00001e020723ae056bdcdb6d2872a13f
7zYj9S9SdIunYCfSm7vzAR,JEON SOMI,63,2333604,32g63Iumwcy21B2W31onXw,Pisces,2023-08-07,['k-pop'],51,https://i.scdn.co/image/ab67616d00001e027da22ba88dfc26a18122ee2d
3KonOYiLsU53m4yT7gNotP,TREASURE,66,3141331,435tPAXJyzIEBzxYsHeUhd,B.O.M.B - KABOOM ver.,2023-10-20,['k-pop boy group'],52,https://i.scdn.co/image/ab67616d00001e027c689f8b1ef73f300993941f
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,76,3614292,7y2WZKii5EQkpGUef37XkR,"Eve, Psyche & the Bluebeard?ôs wife (Rina Sawayama Remix)",2023-07-28,['k-pop girl group'],56,https://i.scdn.co/image/ab67616d00001e025521676c671a23c8f18cb594
73B9bjqS2Z5KLXNGqXf64m,Weeekly,51,576825,4lOlKcHOovGeQtCGWnEzKy,VROOM VROOM,2023-11-01,['k-pop'],56,https://i.scdn.co/image/ab67616d00001e02de5e5488907cb8b82536d894
5V1qsQHdXNm4ZEZHWvFnqQ,Dreamcatcher,60,1294697,3j7Jy420l2J0ZpfWuVlhBQ,Intro : This My Fashion,2023-11-22,"['k-pop', 'k-pop girl group']",54,https://i.scdn.co/image/ab67616d00001e028c2e5ad74cb2c2156da791b9
2KC9Qb60EaY0kW4eH68vr3,ITZY,70,6307930,5Z0gyPr6idyscwLribVpFH,Bratty,2023-07-31,"['k-pop', 'k-pop girl group']",54,https://i.scdn.co/image/ab67616d00001e024c2fcea217112b13312f8fb2
