artist_name,artist_id,track_name,track_id,track_popularity
Jimin,1oSPZhvZMIrWW5I41kPkkY,Like Crazy (English Version),6EY9e6LyPWmL8hUS5E1P0h,78
Stray Kids,2dIgFjalVxs4ThymZ67YCE,BLIND SPOT,6uVpG6300TODQGjOAtXJjh,78
SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,God of Music,4MTNimMDRyFZv37Thcktwa,81
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,"Eve, Psyche & The Bluebeard’s wife",4QhnNyKDsAkXPwHkSnuc89,81
Red Velvet,1z4g3DjTBBZKhvAroFlhOM,Chill Kill,68gQG2HpRMxIRom4pCugMq,75
Stray Kids,2dIgFjalVxs4ThymZ67YCE,Leave,2zPqhdPGNCwzXnvSvj7WgD,78
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,UNFORGIVEN (feat. Nile Rodgers),51vRumtqbkNW9wrKfESwfu,82
ATEEZ,68KmkJeZGfwe1OUaivBa2L,BOUNCY (K-HOT CHILLI PEPPERS),5KyOUICJIvO0z71MBdPGiX,77
IVE,6RHTUrRF63xao58xh9FXYJ,I AM,70t7Q6AYG6ZgTYmJWcnkUM,82
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,Back for More (with Anitta),6uTPA1xlcsk6dbchB2dhzl,81
SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,Super,3AOf6YEpxQ894FmrwI9k96,81
j-hope,0b1sIQumIAsNbqAoIClSpy,on the street (with J. Cole),5wxYxygyHpbgv0EXZuqb9V,78
TAEMIN,13rF01aOogvnkuQXOlgTW8,Guilty,4jMwQaDiDICry8Ia1gFnAn,78
Jimin,1oSPZhvZMIrWW5I41kPkkY,Set Me Free Pt.2,1fpj1CJPxY3YvN3AMAEYvt,80
ENHYPEN,5t5FqBwTcgKTaWmfEbwQY9,Sweet Venom,2YmfV4lAjrAQvuggKCUX6m,81
BLACKPINK,41MozSoPIsD1dJM0CLPjZF,THE GIRLS - BLACKPINK THE GAME OST,1mFpMoeZfkIqtqW2AfQ8ba,77
NCT 127,7f4ignuCJhLXfZ9giKT7rH,Fact Check,5EtiQveQFQy0R05hLVDyKv,75
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,Sugar Rush Ride,0rhI6gvOeCKA502RdJAbfs,78
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,Happily Ever After,29r5gr7b0f710smqMrm7pP,76
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,They Don't Love It,2dSKFFNoNXKo3hPnlwUdPe,75
JENNIE,250b0Wlc5Vk0CoUsaCY84M,You & Me (Coachella ver.),0Vz146N2GxkVJw4kSGXrNi,76
IVE,6RHTUrRF63xao58xh9FXYJ,Off The Record,3G7MgLuWLzUJQflWOCDZit,77
JISOO,6UZ0ba50XreR4TM8u322gs,FLOWER,69CrOS7vEHIrhC2ILyEi0s,78
ITZY,2KC9Qb60EaY0kW4eH68vr3,CAKE,3syxwxJqX5jpgjNYmvzdW6,77
XG,0LOK81e9H5lr61HlGGHqwA,PUPPET SHOW,7sDkXyDikXhpRz715MdiEp,77
Stray Kids,2dIgFjalVxs4ThymZ67YCE,Social Path (Feat. LiSA) (Korean Ver.),5w6HF09YaD6wWlC90NaeVP,75
Stray Kids,2dIgFjalVxs4ThymZ67YCE,Social Path,0fkL0fOhEzRK8WFe2ixt2d,76
DEAN,3eCd0TZrBPm2n9cDG6yWfF,DIE 4 YOU,7yZD4AVfQtAZD4cG8eRnPk,75
wave to earth,5069JTmv5ZDyPeZaCCXiCg,bad,5TZKpQFKCbIlWGD8DzHbC6,83
aespa,6YVMFz59CuY7ngCxTxjpxE,Better Things,6zZWoHlF2zNSLUNLvx4GUl,78
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,Do It Like That,7kaFsQygyiCqRboWCXztxZ,75
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,3D (Justin Timberlake Remix),2mHw0KoEyDw8Yaw3yPoke6,73
IVE,6RHTUrRF63xao58xh9FXYJ,Either Way,6ezYHltHYhuJckdCsYsRJI,76
XG,0LOK81e9H5lr61HlGGHqwA,LEFT RIGHT,3v5o91PrUtf0nmO6j8J7dZ,74
JEON SOMI,7zYj9S9SdIunYCfSm7vzAR,Fast Forward,7jzOZuWgZ5gaMet9V5Ix1d,72
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,ANTIFRAGILE,0bMoNdAnxNR0OuQbGDovrr,77
wave to earth,5069JTmv5ZDyPeZaCCXiCg,love.,5rDXfGMWI6S8wkXR0MHsvv,75
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,Tinnitus (Wanna be a rock),0f0SbtoKGe41cX5LzlnX6X,74
TWICE,7n2Ycct7Beij7Dj7meI4X0,SET ME FREE,4OtVQ2ZxS7yigIjGz5yKg1,75
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,3D (Alternate Ver.),2pLZ6tUBapqlngc9lnYz4M,75
TAEYANG,6udveWUgX4vu75FF0DTrXV,Shoong! (feat. LISA of BLACKPINK),5HrIcZOo1DysX53qDRlRnt,71
NCT U,3paGCCtX1Xr4Gx53mSeZuQ,Baggy Jeans,2pozUjd7AVIPwSNDqoU3ek,63
Stray Kids,2dIgFjalVxs4ThymZ67YCE,TOPLINE (Feat. Tiger JK),0jvZ9caE53ubCQXMki6W23,73
KAI,6iVo62B0bdTknRcrktCmak,Rover,3WUyu94psXrYV6HZbXgcFA,75
HWASA,7bmYpVgQub656uNTu6qGNQ,I Love My Body,0pHylQR53epYtRcVIhUSCh,78
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,Dreamer,59ScHwQ4PP0TRTJgG07PAW,71
KISS OF LIFE,4TEK9tIkcoxib4GxT3O4ky,Sugarcoat (NATTY Solo),0NoeYUnwpb9R26mpylHcR9,72
VIVIZ,7Lq3yAtwi0Z7zpxEwbQQNZ,MANIAC,618OKP1lBkNJL8uZdNSvQE,74
aespa,6YVMFz59CuY7ngCxTxjpxE,Spicy,1ULdASrNy5rurl1TZfFaMP,76
(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,I DO,6SePnvTZkIXZznc8Ftc6vM,75
XG,0LOK81e9H5lr61HlGGHqwA,SHOOTING STAR,3IelG5zYpWWCZIH4cqWlPV,74
Red Velvet,1z4g3DjTBBZKhvAroFlhOM,Underwater,58xqapN458N2VjibN3uVrY,68
Stray Kids,2dIgFjalVxs4ThymZ67YCE,Hall of Fame,5podb1asONjqwKk1iMVOeG,72
Stray Kids,2dIgFjalVxs4ThymZ67YCE,Super Bowl,3OhW68CiyfCoeGntozuUMl,73
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,3D (feat. Jack Harlow) (Clean Ver.),0TaaG2kxjzSjVbmmiiSZEa,79
NMIXX,28ot3wh4oNmoFOdVajibBl,Love Me Like This,6P3CtlzTKLxcNYGOS3es8m,73
NewJeans,6HvZYsbFfjnjFrWF950C9d,New Jeans,7woEDtme8YkFiWeyiinIjy,71
ENHYPEN,5t5FqBwTcgKTaWmfEbwQY9,Still Monster,6tuTpe37ljVcrJeZAAKBE1,74
NewJeans,6HvZYsbFfjnjFrWF950C9d,Super Shy,0kwrPQkiGVE8KTHalH1uMo,71
Stray Kids,2dIgFjalVxs4ThymZ67YCE,ITEM,1EWTsgQAEsUrnQ8iawhDSN,71
ENHYPEN,5t5FqBwTcgKTaWmfEbwQY9,Sacrifice (Eat Me Up),58ItBuVuKc03DvqSeZFnH1,73
ENHYPEN,5t5FqBwTcgKTaWmfEbwQY9,Bills,2nfluhFVrO5OBXPzRWlwlz,73
ENHYPEN,5t5FqBwTcgKTaWmfEbwQY9,CRIMINAL LOVE,0Eglu3fErlG196PtTwCUPM,73
wave to earth,5069JTmv5ZDyPeZaCCXiCg,peach eyes,1V8s51MOKlmES1Vc9Erm89,72
aespa,6YVMFz59CuY7ngCxTxjpxE,Hold On Tight,1o844wI52S3TjXGBwvGcc7,75
ENHYPEN,5t5FqBwTcgKTaWmfEbwQY9,Sweet Venom (English Ver.),47JqJobasbTT9r0gX8CoE1,73
FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,Cupid,5mg3VB3Qh7jcR5kAAC4DSV,74
TWICE,7n2Ycct7Beij7Dj7meI4X0,MOONLIGHT SUNRISE,5IN9W6eUfk3014My9awagX,72
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,Denver,5r30gHLxvhp60XMc5TIIMh,69
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Seven (feat. Latto) (Clean Ver.),50Af7YTMHGNbYyvgofTAGf,80
KISS OF LIFE,4TEK9tIkcoxib4GxT3O4ky,Shhh,76qqDJijAjFph7sjUxNVG8,73
