danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,url,track_href,analysis_url,duration_ms,time_signature,uri
0.79,0.831,11,-4.185,1,0.044,0.312,0,0.0797,0.872,124.987,audio_features,2HRgqmZQC0MC7GeNuDIXHN,,https://api.spotify.com/v1/tracks/2HRgqmZQC0MC7GeNuDIXHN,https://api.spotify.com/v1/audio-analysis/2HRgqmZQC0MC7GeNuDIXHN,183551,4,spotify:track:2HRgqmZQC0MC7GeNuDIXHN
0.507,0.394,6,-7.188,0,0.035,0.508,0,0.0825,0.164,77.955,audio_features,7AbqgE05nFl9qY4FRUiq2p,,https://api.spotify.com/v1/tracks/7AbqgE05nFl9qY4FRUiq2p,https://api.spotify.com/v1/audio-analysis/7AbqgE05nFl9qY4FRUiq2p,167247,4,spotify:track:7AbqgE05nFl9qY4FRUiq2p
0.558,0.467,10,-6.292,1,0.0809,0.611,0,0.105,0.563,100.518,audio_features,3bNNvJA7hsGw0wSpGkfOBm,,https://api.spotify.com/v1/tracks/3bNNvJA7hsGw0wSpGkfOBm,https://api.spotify.com/v1/audio-analysis/3bNNvJA7hsGw0wSpGkfOBm,175912,4,spotify:track:3bNNvJA7hsGw0wSpGkfOBm
0.752,0.65,5,-6.683,0,0.12,0.653,0.00136,0.105,0.532,134.993,audio_features,02wk5BttM0QL38ERjLPQJB,,https://api.spotify.com/v1/tracks/02wk5BttM0QL38ERjLPQJB,https://api.spotify.com/v1/audio-analysis/02wk5BttM0QL38ERjLPQJB,147880,4,spotify:track:02wk5BttM0QL38ERjLPQJB
0.795,0.781,1,-4.647,1,0.141,0.285,0,0.108,0.687,104.972,audio_features,7mpdNiaQvygj2rHoxkzMfa,,https://api.spotify.com/v1/tracks/7mpdNiaQvygj2rHoxkzMfa,https://api.spotify.com/v1/audio-analysis/7mpdNiaQvygj2rHoxkzMfa,157532,4,spotify:track:7mpdNiaQvygj2rHoxkzMfa
0.783,0.592,11,-8.332,0,0.0331,0.435,4.15E-06,0.347,0.726,120.018,audio_features,739WUU1tPFLO4x4HJq561K,,https://api.spotify.com/v1/tracks/739WUU1tPFLO4x4HJq561K,https://api.spotify.com/v1/audio-analysis/739WUU1tPFLO4x4HJq561K,174253,4,spotify:track:739WUU1tPFLO4x4HJq561K
0.886,0.781,5,-1.837,0,0.333,0.0895,0,0.0715,0.672,104.996,audio_features,3gTQwwDNJ42CCLo3Sf4JDd,,https://api.spotify.com/v1/tracks/3gTQwwDNJ42CCLo3Sf4JDd,https://api.spotify.com/v1/audio-analysis/3gTQwwDNJ42CCLo3Sf4JDd,195689,4,spotify:track:3gTQwwDNJ42CCLo3Sf4JDd
0.613,0.73,10,-3.645,0,0.122,0.00875,2.25E-06,0.268,0.576,160.051,audio_features,5Q1tv4GTxP3IJeGMOKdrFO,,https://api.spotify.com/v1/tracks/5Q1tv4GTxP3IJeGMOKdrFO,https://api.spotify.com/v1/audio-analysis/5Q1tv4GTxP3IJeGMOKdrFO,185520,4,spotify:track:5Q1tv4GTxP3IJeGMOKdrFO
0.853,0.824,1,-3.287,1,0.103,0.0322,0,0.0859,0.888,108.044,audio_features,6xGr4tVzpTX99p9Cf0hRRL,,https://api.spotify.com/v1/tracks/6xGr4tVzpTX99p9Cf0hRRL,https://api.spotify.com/v1/audio-analysis/6xGr4tVzpTX99p9Cf0hRRL,201812,4,spotify:track:6xGr4tVzpTX99p9Cf0hRRL
0.69,0.842,10,-4.288,0,0.0739,0.0153,0,0.0639,0.626,141.994,audio_features,0ZPjVmof45INEERgYfadtv,,https://api.spotify.com/v1/tracks/0ZPjVmof45INEERgYfadtv,https://api.spotify.com/v1/audio-analysis/0ZPjVmof45INEERgYfadtv,182670,4,spotify:track:0ZPjVmof45INEERgYfadtv
0.853,0.824,1,-3.287,1,0.103,0.0322,0,0.0859,0.888,108.044,audio_features,01qFKNWq73UfEslI0GvumE,,https://api.spotify.com/v1/tracks/01qFKNWq73UfEslI0GvumE,https://api.spotify.com/v1/audio-analysis/01qFKNWq73UfEslI0GvumE,201812,4,spotify:track:01qFKNWq73UfEslI0GvumE
0.736,0.678,5,-4.503,1,0.0464,0.0459,5.46E-06,0.104,0.757,160.045,audio_features,7uyeEbG6hyApgXuEypGcsZ,,https://api.spotify.com/v1/tracks/7uyeEbG6hyApgXuEypGcsZ,https://api.spotify.com/v1/audio-analysis/7uyeEbG6hyApgXuEypGcsZ,154360,4,spotify:track:7uyeEbG6hyApgXuEypGcsZ
0.776,0.831,11,-3.975,1,0.0457,0.316,0,0.0688,0.891,124.986,audio_features,5Avril3IZ26DPVFHbJX8o6,,https://api.spotify.com/v1/tracks/5Avril3IZ26DPVFHbJX8o6,https://api.spotify.com/v1/audio-analysis/5Avril3IZ26DPVFHbJX8o6,185295,4,spotify:track:5Avril3IZ26DPVFHbJX8o6
0.689,0.539,2,-7.671,0,0.048,0.178,1.45E-05,0.106,0.239,119.949,audio_features,3OdIiWnYRHPYtC313Z0Bwy,,https://api.spotify.com/v1/tracks/3OdIiWnYRHPYtC313Z0Bwy,https://api.spotify.com/v1/audio-analysis/3OdIiWnYRHPYtC313Z0Bwy,229627,4,spotify:track:3OdIiWnYRHPYtC313Z0Bwy
0.711,0.809,2,-4.389,0,0.0955,0.0447,0,0.339,0.816,106.017,audio_features,2VqMBiaxblhhBHyB9X4ESl,,https://api.spotify.com/v1/tracks/2VqMBiaxblhhBHyB9X4ESl,https://api.spotify.com/v1/audio-analysis/2VqMBiaxblhhBHyB9X4ESl,206020,4,spotify:track:2VqMBiaxblhhBHyB9X4ESl
0.786,0.83,1,-3.964,0,0.0437,0.277,0,0.0789,0.891,124.995,audio_features,7Hcj0duTWiCSYDtJaztNIt,,https://api.spotify.com/v1/tracks/7Hcj0duTWiCSYDtJaztNIt,https://api.spotify.com/v1/audio-analysis/7Hcj0duTWiCSYDtJaztNIt,183551,4,spotify:track:7Hcj0duTWiCSYDtJaztNIt
0.525,0.526,5,-7.03,1,0.0534,0.634,0.127,0.103,0.562,85.274,audio_features,1wUnuiXMMvhudmzvcCtlZP,,https://api.spotify.com/v1/tracks/1wUnuiXMMvhudmzvcCtlZP,https://api.spotify.com/v1/audio-analysis/1wUnuiXMMvhudmzvcCtlZP,36227,3,spotify:track:1wUnuiXMMvhudmzvcCtlZP
0.815,0.834,4,-2.828,0,0.0475,0.0327,0.000268,0.27,0.692,129.989,audio_features,4uOBL4DDWWVx4RhYKlPbPC,,https://api.spotify.com/v1/tracks/4uOBL4DDWWVx4RhYKlPbPC,https://api.spotify.com/v1/audio-analysis/4uOBL4DDWWVx4RhYKlPbPC,161240,4,spotify:track:4uOBL4DDWWVx4RhYKlPbPC
0.584,0.985,0,-1.652,1,0.217,0.0263,0,0.184,0.281,126.058,audio_features,20FfCMC46eOIIrxCUdSNZT,,https://api.spotify.com/v1/tracks/20FfCMC46eOIIrxCUdSNZT,https://api.spotify.com/v1/audio-analysis/20FfCMC46eOIIrxCUdSNZT,187587,4,spotify:track:20FfCMC46eOIIrxCUdSNZT
0.617,0.589,7,-5.978,1,0.0345,0.0268,0,0.378,0.566,92.991,audio_features,5IAESfJjmOYu7cHyX557kz,,https://api.spotify.com/v1/tracks/5IAESfJjmOYu7cHyX557kz,https://api.spotify.com/v1/audio-analysis/5IAESfJjmOYu7cHyX557kz,229953,4,spotify:track:5IAESfJjmOYu7cHyX557kz
0.465,0.756,8,-4.289,1,0.0508,0.0919,0,0.0522,0.176,173.944,audio_features,5dUjBnP5zrWpWA5RGrr73g,,https://api.spotify.com/v1/tracks/5dUjBnP5zrWpWA5RGrr73g,https://api.spotify.com/v1/audio-analysis/5dUjBnP5zrWpWA5RGrr73g,191013,3,spotify:track:5dUjBnP5zrWpWA5RGrr73g
0.593,0.446,0,-7.776,0,0.0266,0.283,0,0.119,0.168,102.057,audio_features,5Hfnps0jaWFpYg55WOPexG,,https://api.spotify.com/v1/tracks/5Hfnps0jaWFpYg55WOPexG,https://api.spotify.com/v1/audio-analysis/5Hfnps0jaWFpYg55WOPexG,211251,4,spotify:track:5Hfnps0jaWFpYg55WOPexG
0.896,0.88,9,-2.585,1,0.13,0.0618,0,0.212,0.613,110.016,audio_features,2Rz7TEBsIXbI1tKsfQOCjI,,https://api.spotify.com/v1/tracks/2Rz7TEBsIXbI1tKsfQOCjI,https://api.spotify.com/v1/audio-analysis/2Rz7TEBsIXbI1tKsfQOCjI,172320,4,spotify:track:2Rz7TEBsIXbI1tKsfQOCjI
0.585,0.815,0,-4.165,0,0.0565,0.115,0,0.124,0.564,132.09,audio_features,59hBR0BCtJsfIbV9VzCVAp,,https://api.spotify.com/v1/tracks/59hBR0BCtJsfIbV9VzCVAp,https://api.spotify.com/v1/audio-analysis/59hBR0BCtJsfIbV9VzCVAp,200930,4,spotify:track:59hBR0BCtJsfIbV9VzCVAp
0.623,0.755,7,-5.386,1,0.0415,0.00306,0,0.387,0.32,119.957,audio_features,6EY9e6LyPWmL8hUS5E1P0h,,https://api.spotify.com/v1/tracks/6EY9e6LyPWmL8hUS5E1P0h,https://api.spotify.com/v1/audio-analysis/6EY9e6LyPWmL8hUS5E1P0h,212254,4,spotify:track:6EY9e6LyPWmL8hUS5E1P0h
0.622,0.872,2,-2.767,1,0.279,0.0495,0,0.0841,0.635,196.102,audio_features,6uVpG6300TODQGjOAtXJjh,,https://api.spotify.com/v1/tracks/6uVpG6300TODQGjOAtXJjh,https://api.spotify.com/v1/audio-analysis/6uVpG6300TODQGjOAtXJjh,200813,4,spotify:track:6uVpG6300TODQGjOAtXJjh
0.728,0.912,11,-2.55,0,0.167,0.0458,0,0.102,0.808,120.044,audio_features,4MTNimMDRyFZv37Thcktwa,,https://api.spotify.com/v1/tracks/4MTNimMDRyFZv37Thcktwa,https://api.spotify.com/v1/audio-analysis/4MTNimMDRyFZv37Thcktwa,205133,4,spotify:track:4MTNimMDRyFZv37Thcktwa
0.663,0.872,11,-5.056,1,0.2,0.0153,0,0.0519,0.626,142.951,audio_features,4QhnNyKDsAkXPwHkSnuc89,,https://api.spotify.com/v1/tracks/4QhnNyKDsAkXPwHkSnuc89,https://api.spotify.com/v1/audio-analysis/4QhnNyKDsAkXPwHkSnuc89,185539,4,spotify:track:4QhnNyKDsAkXPwHkSnuc89
0.531,0.747,0,-3.717,1,0.0946,0.0549,0,0.244,0.434,148.039,audio_features,68gQG2HpRMxIRom4pCugMq,,https://api.spotify.com/v1/tracks/68gQG2HpRMxIRom4pCugMq,https://api.spotify.com/v1/audio-analysis/68gQG2HpRMxIRom4pCugMq,214800,4,spotify:track:68gQG2HpRMxIRom4pCugMq
0.78,0.655,1,-4.864,1,0.0325,0.553,0,0.0617,0.685,109.993,audio_features,2zPqhdPGNCwzXnvSvj7WgD,,https://api.spotify.com/v1/tracks/2zPqhdPGNCwzXnvSvj7WgD,https://api.spotify.com/v1/audio-analysis/2zPqhdPGNCwzXnvSvj7WgD,219093,4,spotify:track:2zPqhdPGNCwzXnvSvj7WgD
0.795,0.875,4,-4.079,0,0.0525,0.111,8.94E-05,0.107,0.375,104.008,audio_features,51vRumtqbkNW9wrKfESwfu,,https://api.spotify.com/v1/tracks/51vRumtqbkNW9wrKfESwfu,https://api.spotify.com/v1/audio-analysis/51vRumtqbkNW9wrKfESwfu,182149,4,spotify:track:51vRumtqbkNW9wrKfESwfu
0.532,0.896,8,-4.356,1,0.184,0.00869,0,0.106,0.479,150.06,audio_features,5KyOUICJIvO0z71MBdPGiX,,https://api.spotify.com/v1/tracks/5KyOUICJIvO0z71MBdPGiX,https://api.spotify.com/v1/audio-analysis/5KyOUICJIvO0z71MBdPGiX,187311,4,spotify:track:5KyOUICJIvO0z71MBdPGiX
0.683,0.875,4,-4.866,0,0.0549,0.0115,0,0.084,0.384,122.002,audio_features,70t7Q6AYG6ZgTYmJWcnkUM,,https://api.spotify.com/v1/tracks/70t7Q6AYG6ZgTYmJWcnkUM,https://api.spotify.com/v1/audio-analysis/70t7Q6AYG6ZgTYmJWcnkUM,183853,4,spotify:track:70t7Q6AYG6ZgTYmJWcnkUM
0.785,0.897,4,-3.447,0,0.158,0.0452,0,0.222,0.891,115.916,audio_features,6uTPA1xlcsk6dbchB2dhzl,,https://api.spotify.com/v1/tracks/6uTPA1xlcsk6dbchB2dhzl,https://api.spotify.com/v1/audio-analysis/6uTPA1xlcsk6dbchB2dhzl,131038,4,spotify:track:6uTPA1xlcsk6dbchB2dhzl
0.771,0.88,8,-4.091,1,0.0857,0.162,1.41E-06,0.167,0.347,137.018,audio_features,3AOf6YEpxQ894FmrwI9k96,,https://api.spotify.com/v1/tracks/3AOf6YEpxQ894FmrwI9k96,https://api.spotify.com/v1/audio-analysis/3AOf6YEpxQ894FmrwI9k96,200387,4,spotify:track:3AOf6YEpxQ894FmrwI9k96
0.681,0.821,11,-5.12,0,0.131,0.532,0.00111,0.0921,0.813,94.074,audio_features,5wxYxygyHpbgv0EXZuqb9V,,https://api.spotify.com/v1/tracks/5wxYxygyHpbgv0EXZuqb9V,https://api.spotify.com/v1/audio-analysis/5wxYxygyHpbgv0EXZuqb9V,214701,4,spotify:track:5wxYxygyHpbgv0EXZuqb9V
0.572,0.777,6,-4.27,0,0.0421,0.289,4.42E-06,0.141,0.665,81.983,audio_features,4jMwQaDiDICry8Ia1gFnAn,,https://api.spotify.com/v1/tracks/4jMwQaDiDICry8Ia1gFnAn,https://api.spotify.com/v1/audio-analysis/4jMwQaDiDICry8Ia1gFnAn,190173,3,spotify:track:4jMwQaDiDICry8Ia1gFnAn
0.585,0.815,0,-4.165,0,0.0565,0.115,0,0.124,0.564,132.09,audio_features,1fpj1CJPxY3YvN3AMAEYvt,,https://api.spotify.com/v1/tracks/1fpj1CJPxY3YvN3AMAEYvt,https://api.spotify.com/v1/audio-analysis/1fpj1CJPxY3YvN3AMAEYvt,200930,4,spotify:track:1fpj1CJPxY3YvN3AMAEYvt
0.84,0.673,10,-3.685,1,0.0427,0.0426,0,0.0971,0.911,115.004,audio_features,2YmfV4lAjrAQvuggKCUX6m,,https://api.spotify.com/v1/tracks/2YmfV4lAjrAQvuggKCUX6m,https://api.spotify.com/v1/audio-analysis/2YmfV4lAjrAQvuggKCUX6m,148753,4,spotify:track:2YmfV4lAjrAQvuggKCUX6m
0.715,0.738,2,-4.42,1,0.0577,0.00199,0,0.208,0.36,160.07,audio_features,1mFpMoeZfkIqtqW2AfQ8ba,,https://api.spotify.com/v1/tracks/1mFpMoeZfkIqtqW2AfQ8ba,https://api.spotify.com/v1/audio-analysis/1mFpMoeZfkIqtqW2AfQ8ba,162000,4,spotify:track:1mFpMoeZfkIqtqW2AfQ8ba
0.758,0.908,5,-2.652,0,0.113,0.0768,0,0.257,0.572,130.012,audio_features,5EtiQveQFQy0R05hLVDyKv,,https://api.spotify.com/v1/tracks/5EtiQveQFQy0R05hLVDyKv,https://api.spotify.com/v1/audio-analysis/5EtiQveQFQy0R05hLVDyKv,184653,4,spotify:track:5EtiQveQFQy0R05hLVDyKv
0.712,0.893,10,-3.995,0,0.0851,0.00788,0,0.169,0.828,125.022,audio_features,0rhI6gvOeCKA502RdJAbfs,,https://api.spotify.com/v1/tracks/0rhI6gvOeCKA502RdJAbfs,https://api.spotify.com/v1/audio-analysis/0rhI6gvOeCKA502RdJAbfs,186571,4,spotify:track:0rhI6gvOeCKA502RdJAbfs
0.688,0.683,5,-6.629,0,0.0932,0.017,0,0.134,0.528,156.087,audio_features,29r5gr7b0f710smqMrm7pP,,https://api.spotify.com/v1/tracks/29r5gr7b0f710smqMrm7pP,https://api.spotify.com/v1/audio-analysis/29r5gr7b0f710smqMrm7pP,151919,4,spotify:track:29r5gr7b0f710smqMrm7pP
0.536,0.814,1,-5.407,1,0.306,0.0388,0,0.142,0.851,96.7,audio_features,2dSKFFNoNXKo3hPnlwUdPe,,https://api.spotify.com/v1/tracks/2dSKFFNoNXKo3hPnlwUdPe,https://api.spotify.com/v1/audio-analysis/2dSKFFNoNXKo3hPnlwUdPe,113292,4,spotify:track:2dSKFFNoNXKo3hPnlwUdPe
0.749,0.652,9,-5.611,1,0.0575,0.00506,8.92E-06,0.238,0.625,111.945,audio_features,0Vz146N2GxkVJw4kSGXrNi,,https://api.spotify.com/v1/tracks/0Vz146N2GxkVJw4kSGXrNi,https://api.spotify.com/v1/audio-analysis/0Vz146N2GxkVJw4kSGXrNi,179865,4,spotify:track:0Vz146N2GxkVJw4kSGXrNi
0.767,0.745,10,-5.338,1,0.0449,0.101,0,0.192,0.842,107.984,audio_features,3G7MgLuWLzUJQflWOCDZit,,https://api.spotify.com/v1/tracks/3G7MgLuWLzUJQflWOCDZit,https://api.spotify.com/v1/audio-analysis/3G7MgLuWLzUJQflWOCDZit,188733,4,spotify:track:3G7MgLuWLzUJQflWOCDZit
0.841,0.384,9,-7.684,0,0.0351,0.0236,2.28E-06,0.0735,0.597,123.961,audio_features,69CrOS7vEHIrhC2ILyEi0s,,https://api.spotify.com/v1/tracks/69CrOS7vEHIrhC2ILyEi0s,https://api.spotify.com/v1/audio-analysis/69CrOS7vEHIrhC2ILyEi0s,173134,4,spotify:track:69CrOS7vEHIrhC2ILyEi0s
0.801,0.758,7,-4.31,1,0.0445,0.0663,4.10E-06,0.0431,0.576,103.07,audio_features,3syxwxJqX5jpgjNYmvzdW6,,https://api.spotify.com/v1/tracks/3syxwxJqX5jpgjNYmvzdW6,https://api.spotify.com/v1/audio-analysis/3syxwxJqX5jpgjNYmvzdW6,198887,4,spotify:track:3syxwxJqX5jpgjNYmvzdW6
0.781,0.611,0,-6.211,1,0.136,0.081,3.40E-06,0.208,0.722,149.996,audio_features,7sDkXyDikXhpRz715MdiEp,,https://api.spotify.com/v1/tracks/7sDkXyDikXhpRz715MdiEp,https://api.spotify.com/v1/audio-analysis/7sDkXyDikXhpRz715MdiEp,199960,4,spotify:track:7sDkXyDikXhpRz715MdiEp
0.549,0.909,11,-3.235,0,0.187,0.045,0,0.198,0.37,172.025,audio_features,5w6HF09YaD6wWlC90NaeVP,,https://api.spotify.com/v1/tracks/5w6HF09YaD6wWlC90NaeVP,https://api.spotify.com/v1/audio-analysis/5w6HF09YaD6wWlC90NaeVP,197267,4,spotify:track:5w6HF09YaD6wWlC90NaeVP
0.562,0.91,11,-3.51,0,0.21,0.0554,0,0.242,0.405,172.013,audio_features,0fkL0fOhEzRK8WFe2ixt2d,,https://api.spotify.com/v1/tracks/0fkL0fOhEzRK8WFe2ixt2d,https://api.spotify.com/v1/audio-analysis/0fkL0fOhEzRK8WFe2ixt2d,198787,4,spotify:track:0fkL0fOhEzRK8WFe2ixt2d
0.411,0.359,6,-9.928,0,0.0592,0.802,1.24E-05,0.104,0.277,82.631,audio_features,7yZD4AVfQtAZD4cG8eRnPk,,https://api.spotify.com/v1/tracks/7yZD4AVfQtAZD4cG8eRnPk,https://api.spotify.com/v1/audio-analysis/7yZD4AVfQtAZD4cG8eRnPk,194046,4,spotify:track:7yZD4AVfQtAZD4cG8eRnPk
0.562,0.551,2,-8.879,1,0.0318,0.705,0.113,0.164,0.386,135.808,audio_features,5TZKpQFKCbIlWGD8DzHbC6,,https://api.spotify.com/v1/tracks/5TZKpQFKCbIlWGD8DzHbC6,https://api.spotify.com/v1/audio-analysis/5TZKpQFKCbIlWGD8DzHbC6,263250,4,spotify:track:5TZKpQFKCbIlWGD8DzHbC6
0.782,0.767,0,-5.383,1,0.0529,0.11,0.00323,0.496,0.548,115.027,audio_features,6zZWoHlF2zNSLUNLvx4GUl,,https://api.spotify.com/v1/tracks/6zZWoHlF2zNSLUNLvx4GUl,https://api.spotify.com/v1/audio-analysis/6zZWoHlF2zNSLUNLvx4GUl,203216,4,spotify:track:6zZWoHlF2zNSLUNLvx4GUl
0.772,0.921,5,-3.221,0,0.0531,0.0103,0,0.334,0.842,119.992,audio_features,7kaFsQygyiCqRboWCXztxZ,,https://api.spotify.com/v1/tracks/7kaFsQygyiCqRboWCXztxZ,https://api.spotify.com/v1/audio-analysis/7kaFsQygyiCqRboWCXztxZ,145066,4,spotify:track:7kaFsQygyiCqRboWCXztxZ
